username,text,dominant_label,binary_label,tokenized_comment
its.mamia,"Udah rusak penampilan, agama. Minimal akhlak lah",['Flaming'],Yes,"['sudah', 'rusak', 'tampil', 'agama', 'minimum', 'moral']"
sendhikautama,Lu yg mana bang,['Neutral'],No,['bang']
herru_dic,SOK IYEE bngt baru satu lagu yg booming hadehhh,['Flaming'],Yes,"['megah', 'iyee', 'banget', 'lagu', 'booming', 'haduh']"
dfitrangga,Wkwkwkw iya betul lagi…,['Neutral'],No,"['wkwkwkw', 'ya']"
_grestisaa,Pril gak suka malah badannya kecil kepalanya gede 😭 balik gak kaya dulu cantikan dulu,['Body Shaming'],Yes,"['pril', 'tidak', 'suka', 'tepat', 'badan', 'kepala', 'tidak', 'kaya', 'cantik']"
widyyadarii_,MERUSAK CITRA CADAR AJA LU BANG❗❗,['Neutral'],No,"['rusak', 'citra', 'kerudung', 'bang']"
nyamansandi,❤️ mantap mantap bang raffi😍,['Neutral'],No,"['bagus', 'bagus', 'bang', 'raffi']"
fr.dont_,Jiah... stop denger dan pakai lagunya..... wkwkwkk kocak,['Harassment'],Yes,"['jiah', 'henti', 'dengar', 'lagu', 'wkwkwkk', 'lucu']"
wendrioktafikri_,App hal sampai siko bos @joysforeal,['Neutral'],No,"['aplikasi', 'urus', 'siko', 'bos']"
dontjudgemee12,"jangan di hujat woy kasian , justru kita harusnya berterima kasih sama dozmaaaaa",['Neutral'],No,"['nista', 'hai', 'kasihan', 'terima', 'cinta', 'dozmaa']"
kaaaoka_,Gausa di zoom deh,['Harassment'],Yes,"['tidak', 'zoom', 'deh']"
_novitasdy_,"Yang sbaar jd a raffi ada isu londry , mana diakun sebelah ada berita papa gigi nuntut lagi. Ayok aa rafii semangatt",['Neutral'],No,"['sabar', 'a', 'raffi', 'isu', 'laundri', 'akun', 'belah', 'berita', 'ayah', 'gigi', 'tuntut', 'yuk', 'a', 'a', 'rafi', 'semangat']"
madawahyu6,Bokong Tepos Nggak Ada Indahnya Dan Aduhainya Hilang.,['Body Shaming'],Yes,"['pantat', 'tepos', 'tidak', 'indah', 'aduhai', 'hilang']"
wilman0121,bentar lg body aku juga kaya gitu,['Neutral'],No,"['tunggu', 'sebentar', 'tubuh', 'kaya']"
dzakwanmqd_,Banyakin istighfar ya bang lu itu COWOK inget bisa²nya pake cadar,['Neutral'],No,"['banyak', 'istighfar', 'ya', 'bang', 'pria', 'bisa', 'pakai', 'kerudung']"
itsmeeabee,Gausah bikin lagu bisa ga? Baru juga 1 lagu udah kek yg iya dah wkwk,['Harassment'],Yes,"['tidak', 'lagu', 'tidak', 'lagu', 'sudah', 'kayak', 'ya', 'selamat', 'tinggal', 'wkwk']"
yndre_0708,Aq pengen kurus kyak dl 😢,['Body Shaming'],Yes,"['kurus', 'kayak']"
immubrkk,Ini Hero baru di ML..,['Neutral'],No,"['pahlawan', 'ml']"
febriwidi_,Kali ini kameramen menang banyak 😭👏,['Neutral'],No,"['kali', 'juru', 'kamera', 'menang']"
sennndypa,MAU PANSOS BAWA BAWA NAMA WAKPRES KITA LU KOCAK?,['Denigration'],Yes,"['panjat', 'sosial', 'bawa', 'bawa', 'nama', 'wakes', 'lucu']"
dorjat_13,GA SUDI SUMPAH HP GUA KALO ADA LAGU ELU NYA,['Harassment'],Yes,"['tidak', 'sudi', 'sumpah', 'telepon', 'genggam', 'gua', 'lagu', 'milik']"
tika.thv,"baru liat foto nya otak gua langsung bilang "" pasti @jefrinichol ada ngelike ni "" eh bener aja wkwk pas sadar habis liat like jefri langsung mikir kok gua bisa² nya kepikiran jefri nichol kalo ada foto² sexi 😂 hampura ya jef 🙏🏽🤣",['Neutral'],No,"['lihat', 'foto', 'milik', 'otak', 'gua', 'langsung', 'bilang', 'suka', 'nih', 'eh', 'wkwk', 'kanan', 'sadar', 'selesai', 'lihat', 'suka', 'jefri', 'langsung', 'mikir', 'gua', 'milik', 'pikir', 'jefri', 'nichol', 'foto', 'seksi', 'maaf', 'ya', 'jef']"
norylubis,semangat mama gigi papa raffi😍,['Neutral'],No,"['roh', 'mama', 'gigi', 'ayah', 'raffi']"
angelitasdr,rapi elu posting muka nagita lagi begitu😂,['Neutral'],No,"['rapi', 'posting', 'maju', 'nagita']"
devanka_f_a,LEBIH BAIK PAKAI KOPEAH MU ABANG IRWAN,['Neutral'],No,"['bagus', 'kopeah', 'milik', 'kakak', 'irwan']"
elisalutfi02,ke nya lebih cocok dinar candy deh yg foto mke bju gtuan😍,['Neutral'],No,"['milik', 'cocok', 'dinar', 'permen', 'deh', 'foto', 'pakai', 'baju', 'gtuan']"
teawesome,"Gaya²an mau enggak sudi . Hhahahaa ,emang kamu artis ?? Lagu ini aja baru tau .istifar bro 😂",['Harassment'],Yes,"['gaya', 'tidak', 'sudi', 'hhahahaa', 'artis', 'lagu', 'istighfar', 'kawan']"
brandedpekanbaru4,Shitaa baju kau ya,['Neutral'],No,"['shita', 'baju', 'ya']"
doyokstore5758,dia ini siapa anjir? ga terkenal skip,['Denigration'],Yes,"['anjir', 'tidak', 'kenal', 'lewat']"
awaaaff_,@spotifyid Please boycott Rio Clappy's song bunga abadi,['Harassment'],Yes,"['sila', 'boikot', 'rio', 'clappys', 'lagu', 'bunga', 'abadi']"
rahayuanugrah,Aduhhhhh aku iri nya 100% 😭,['Neutral'],No,"['aduh', 'iri', 'milik']"
rijaltobat_,"Gue gak pernah denger lagu dia, kayak b aja hahaha",['Harassment'],Yes,"['tidak', 'dengar', 'lagu', 'suka', 'b', 'ha', 'ha', 'ha']"
aaaaaaasin,MINIMAL MINTA MAAF KRN GA PUNYA ETIKA,['Flaming'],Yes,"['minimum', 'maaf', 'tidak', 'etika']"
adindaantikk_,RIZKY LEPAS BERLIAN DEMI BATU KERIKIL🤭🤭😂TAPI GOOD SI KY MAKASIH UDAH LEPASIN CIPA,"['Body Shaming', 'Denigration']",Yes,"['rizky', 'longgar', 'berlian', 'batu', 'kerikil', 'bagus', 'si', 'kaya', 'terima', 'kasih', 'sudah', 'lepas', 'cipa']"
ssanmkey17,Bohai.banget badannya Sitha..pantesan Bastian nempel terus nih...,"['Body Shaming', 'Denigration']",Yes,"['bohaibanget', 'badan', 'sithapantesan', 'bastian', 'tempel']"
aris_rifai30,@s.enggarsaputraa meh komen wedi di woco bojoku 😎,['Neutral'],No,"['enggar', 'saputra', 'komentar', 'wedi', 'woco', 'bojoku']"
anshrifqi,Pemula diajak pace 5. Keluar lagi tuh pasti sarapan bubur semua 😂,['Neutral'],No,"['mula', 'ajak', 'laju', 'tuh', 'sarap', 'bubur']"
laikkk_3004,Cantikan dosma sih dari tetangga sebelah😍,['Neutral'],No,"['cantik', 'dosma', 'sih', 'tetangga', 'belah']"
cahya.wahyuni,Ini Bner bner model yg menantang 😂,['Neutral'],No,"['model', 'tantang']"
lengkungan_nada,"KEK LAGU LO PALING OKE AJA, MUSII TERBODOOOHHH👎👎",['Flaming'],Yes,"['kayak', 'lagu', 'lo', 'oke', 'musisi', 'terbodoohh']"
rvnggav,RIP AKAL SEHAT!!! LU COWO DENGAN BANGGA NYA MENODAI AGAMA LU SENDIRI!!!,['Flaming'],Yes,"['rip', 'alas', 'sehat', 'cowok', 'bangga', 'milik', 'noda', 'agama']"
fahmi_miftahudin04,"terlalu memakai kiblat liberal sih, dengan opini fashion gak kenal gender, di hal lain ya semua udh ngebebasin lu sesuai kemauan lu kan, tapi perihal acara keagamaan lu tetapin diri apa yg jadi kodrat lu",['Neutral'],No,"['pakai', 'qibla', 'liberal', 'sih', 'dapat', 'fashion', 'tidak', 'jenis', 'kelamin', 'urus', 'ya', 'sudah', 'bebas', 'sesuai', 'mau', 'program', 'agama', 'tetap', 'alam']"
m.f.drebel,Kok toku bgt komuk nya kayak umur 39,['Body Shaming'],Yes,"['toku', 'banget', 'muka', 'milik', 'suka', 'usia']"
