username,text,label,binary_label,tokenized_comment
its.mamia,"Udah rusak penampilan, agama. Minimal akhlak lah",['Flaming'],Yes,"['sudah', 'rusak', 'tampil', 'agama', 'minimal', 'akhlak', 'lah']"
herru_dic,SOK IYEE bngt baru satu lagu yg booming hadehhh,['Flaming'],Yes,"['sok', 'iya', 'sangat', 'baru', 'satu', 'lagu', 'yang', 'booming', 'haduh']"
_grestisaa,Pril gak suka malah badannya kecil kepalanya gede 😭 balik gak kaya dulu cantikan dulu,['Body Shaming'],Yes,"['prilly', 'tidak', 'suka', 'lebih', 'tepat', 'badan', 'kecil', 'kepala', 'besar', 'balik', 'tidak', 'seperti', 'dahulu', 'cantik', 'dahulu']"
fr.dont_,Jiah... stop denger dan pakai lagunya..... wkwkwkk kocak,['Harassment'],Yes,"['jiah', 'henti', 'dengar', 'dan', 'pakai', 'lagu', 'wkwk', 'lucu', 'sekali']"
kaaaoka_,Gausa di zoom deh,['Harassment'],Yes,"['tidak', 'usah', 'di', 'zoom', 'deh']"
madawahyu6,Bokong Tepos Nggak Ada Indahnya Dan Aduhainya Hilang.,['Body Shaming'],Yes,"['pantat', 'tepos', 'tidak', 'ada', 'indah', 'dan', 'aduhai', 'hilang']"
itsmeeabee,Gausah bikin lagu bisa ga? Baru juga 1 lagu udah kek yg iya dah wkwk,['Harassment'],Yes,"['tidak', 'usah', 'buat', 'lagu', 'bisa', 'tidak', 'baru', 'juga', 'lagu', 'sudah', 'seperti', 'yang', 'iya', 'deh', 'wkwk']"
yndre_0708,Aq pengen kurus kyak dl 😢,['Body Shaming'],Yes,"['aku', 'ingin', 'kurus', 'seperti', 'dulu']"
sennndypa,MAU PANSOS BAWA BAWA NAMA WAKPRES KITA LU KOCAK?,['Denigration'],Yes,"['mau', 'panjat', 'sosial', 'bawa', 'bawa', 'nama', 'wakil', 'presiden', 'kita', 'kamu', 'lucu', 'sekali']"
dorjat_13,GA SUDI SUMPAH HP GUA KALO ADA LAGU ELU NYA,['Harassment'],Yes,"['tidak', 'sudi', 'sumpah', 'hp', 'aku', 'jika', 'ada', 'lagu', 'kamu', 'nya']"
teawesome,"Gaya²an mau enggak sudi . Hhahahaa ,emang kamu artis ?? Lagu ini aja baru tau .istifar bro 😂",['Harassment'],Yes,"['gaya', 'mau', 'tidak', 'sudi', 'hahaha', 'memang', 'salut', 'artis', 'lagu', 'ini', 'saja', 'baru', 'tahu', 'istighfar', 'bro']"
doyokstore5758,dia ini siapa anjir? ga terkenal skip,['Denigration'],Yes,"['dia', 'ini', 'siapa', 'anjir', 'tidak', 'kenal', 'lewat']"
awaaaff_,@spotifyid Please boycott Rio Clappy's song bunga abadi,['Harassment'],Yes,"['tolong', 'boikot', 'rio', 'clappy', 'lagu', 'bunga', 'abadi']"
rijaltobat_,"Gue gak pernah denger lagu dia, kayak b aja hahaha",['Harassment'],Yes,"['aku', 'tidak', 'pernah', 'dengar', 'lagu', 'dia', 'seperti', 'b', 'saja', 'hahaha']"
aaaaaaasin,MINIMAL MINTA MAAF KRN GA PUNYA ETIKA,['Flaming'],Yes,"['minimal', 'minta', 'maaf', 'karena', 'tidak', 'punya', 'etika']"
adindaantikk_,RIZKY LEPAS BERLIAN DEMI BATU KERIKIL🤭🤭😂TAPI GOOD SI KY MAKASIH UDAH LEPASIN CIPA,"['Body Shaming', 'Denigration']",Yes,"['rizky', 'lepas', 'berlian', 'demi', 'batu', 'kerikil', 'tapi', 'bagus', 'sih', 'kaya', 'terima', 'kasih', 'sudah', 'lepas', 'syifa']"
ssanmkey17,Bohai.banget badannya Sitha..pantesan Bastian nempel terus nih...,"['Body Shaming', 'Denigration']",Yes,"['bohai', 'sangat', 'badan', 'sitha', 'pantas', 'bastian', 'tempel', 'terus', 'ini']"
lengkungan_nada,"KEK LAGU LO PALING OKE AJA, MUSII TERBODOOOHHH👎👎",['Flaming'],Yes,"['seperti', 'lagu', 'kamu', 'paling', 'oke', 'saja', 'musisi', 'terbodoohh']"
